0
Acantholimon boubaschatense
Cephalaria sillingeri
Cerastium coeruleum
Cerastium domingense
Cerastium zhigulensis
Cheiranthus hispidus
Chenopodium rubrum var. microspermum
Chesneya pavlovii
Chondrilla arenicola
Chondrilla cyanorostris
Chondrilla lejosperma
Chondrilla lejosperma var. coronata
Chondrilla sandybaica
Chrysocephalum speciosum
Cicer macranthum
Cirsium smirnovii
Cirsium wachtangii
Claoxylon rubescens var. cumingiana
Conyza tetraptera
Corispermum chinganicum var. microcarpum
Corispermum iljinii
Cornus sanguinea subsp. czerniaewii
Corydalis bosbutooenis
Cousinia glauciifolia
Covellia microcarpa
Crepis distincta
Crepis kusnezovii
Crepis oporinoides var. prostrata
Crucianella exasperata var. marginata
Crucianella filifolia var. grandiflora
Crucianella filifolia var. parviflora
Cuscuta camelorum
Cuscuta convallariifolia
Cyperus iria var. acutiglumis
Cytisus chrysotrichus
Cytisus pseudorochelii
Delphinium crassifolium var. compactum
Dendrochilum uncatum var. lancifolium
Derris cumingii
Dianthus carthusianorum var. pseudogramineus
Dianthus giganteiformis var. craiovensis
Dianthus tichomirovii
Dorema badhysi
Draba alpina var. hebecarpa
Draba czuense
Draba mollisima
Draba subflandnizensis
Dracocephalum chamaedryfolium
Dracocephalum goloskokovii
Dracocephalum karataviense
Dracocephalum nutans subsp. subarcticum
Dracocephalum nutans var. alpina
Dracocephalum pavlovii
Dracocephalum pinnatum var. pallidiflorum
Dysphania neglecta
Ebenus barbigera
Echites galegiformis
Eclipta phillippinensis
Elymus daghestanicus
Elymus engelmannianus
Engelhardtia parvifolia
Epilobium rupicolum
Epithema brunonis var. fasciculata
Equisetum telmateja
Eremostachys karatavica
Eremostachys krauseanus
Erigeron flagellare
Erodium anthemifolium
Erodium oxyrhynchum var. songoricum
Erodium stevenii
Eryngium coeruleum
Erysimum altaicum var. baicalense
Erysimum laciniatum
Eucalyptus corymbosa
Eugenia acuminatissima var. parva
Euonymus bidupensis
Euphorbia leptocaula var. bogdanii
Euphorbia pachyrhiza
Euphorbia saravschanica var. hirta
Euphrasia alpina var. calvescens
Euphrasia praecurta
Euphrasia variabilis
Ferula inciso-serrata
Festuca ovina subvar. sillingeri
Festuca ovina var. malzewii
Festuca pseudoeskia
Festuca skvortzovii
Festuca sulcata var. asperrima
Festuca varia subvar. stiriaca
Ficaria stepporum
Fragaria neglecta
Frankenia glauca
Gagea borealis
Gagea erubescens var. czerniajefii
Galatella dracunculoides var. radiata
Galeobdolon caucasicum
Galeopsis pernhofferi
Galium coronatum var. lasiocarpum
Galium petrophilum
Galium syreitschikovii
Garhadiolus echinatus
Genista lipurioides
Genista radiata var. holopetala
Gentiana marcowiczii
Gentiana murbeckii
Glechoma heterophylla var. angustidens
Glechoma heterophylla var. latidens
Glycyrrhiza soongorica
Grymania salicifolia
Gymnogramme kunzei
Gynostemma integrifolium
Gypsophila litvinovii
Gypsophila nanella
Hackelia thymifolia var. pamirica
Hedysarum callichroum
Hedysarum erythroleucum
Hedysarum lydium
Hedysarum sipyleum
Heldreichia bupleurifolia var. subtriloba
Heliotropium argusioides
Hesperis sibirica var. albiflora
Heteropanax chinensis var. longipedunculata
Heteropappus hispidus var. eriocephalus
Hieracium acrocomum subsp. sysolkiense
Hieracium apatorium var. subspathophyllum
Hieracium arvicola subsp. ingentiforme
Hieracium arvicola subsp. leucocraspedum
Hieracium arvicola var. subglandulosum
Hieracium aurantiacum var. glandulifrons
Hieracium auriculoides subsp. sabinocephalum
Hieracium beauverdianum subsp. laricicolum
Hieracium boreale subsp. suboccitanicum
Hieracium brachiatum subsp. adenocaulon
Hieracium calodon f. kolomnense
Hieracium collinum subsp. perichlorum
Hieracium cydoniifolium var. lungavicum
Hieracium divisum subsp. cisrhenanum
Hieracium divisum subsp. lonchodiforme
Hieracium divisum subsp. vorarlbergense
Hieracium dollineri subsp. gailanum
Hieracium echioides subsp. multifolium
Hieracium euchaetiforme subsp. pskowiense
Hieracium fallax var. angustus
Hieracium flagellare subsp. amaeniceps
Hieracium florentinum subsp. keletzense
Hieracium florentinum subsp. sabulicolum
Hieracium florentinum var. infrasetosum
Hieracium florentinum var. subhirsutulum
Hieracium glomeratum subsp. muravicum
Hieracium inuloides subsp. flocciceps
Hieracium inuloides subsp. lasiophyton
Hieracium iuranum subsp. fontanalbae
Hieracium jaervikylae
Hieracium laevigatum subsp. lavantinum
Hieracium laevigatum subsp. ovalescens
Hieracium leptoclados subsp. striatilingua
Hieracium leptophyton subsp. orthochaeton
Hieracium magyaricum var. subflagelliferum
Hieracium nigrescens subsp. stenomischum
Hieracium nigriceps subsp. subconfinium
Hieracium obornyanum subsp. pratensiflorum
Hieracium pachylodes subsp. sublongisquamum
Hieracium periplianoides subsp. antennarinum
Hieracium pilosella subsp. bicoloriflorum
Hieracium pilosella subsp. dasycephalopsis
Hieracium pilosella subsp. erythroxanthium
Hieracium pilosella subsp. sericostolonum
Hieracium pilosella var. jesernikense
Hieracium pilosella var. polyscapum
Hieracium piloselliflorum var. pilosellifolium
Hieracium pratense var. dlandulosopedunculatum
Hieracium pratense var. microphyton
Hieracium prussicum subsp. strehlenense
Hieracium sabaudum subsp. roemerianum
Hieracium sabaudum var. anjezdense
Hieracium subspeciosum subsp. castellae
Hieracium subspeciosum subsp. morascanum
Hieracium suecicum subsp. rhodolepidioides
Hieracium sylvaticum subsp. chlorelloides
Hieracium sylvaticum subsp. herbidum
Hieracium sylvaticum subsp. radomense
Hieracium sylvaticum subsp. submarginellum
Hieracium sylvaticum subsp. umbrosiforme
Hieracium umbellatum subvar. asterophovum
Hieracium umbellatum var. submonticolum
Hieracium umbelliferum subsp. cymanthiforme
Hieracium umbelliferum subsp. xanthothyrsum
Hieracium virosum var. glaberrima
Hieracium virosum var. virescens
Hieracium vulgatum subsp. chrysoglossum
Hieracium vulgatum subsp. corrosum
Hieracium vulgatum subsp. lupimontis
Hieracium vulgatum subsp. subeuroum
Hieracium vulgatum subsp. subpunctilatiforme
Hieracium vulgatum subsp. wischniakowii
Hieracium vulgatum var. sublaeticolor
Hierochloa stepporum
Horaninovia minor var. rigidior
Hypericum perforatum var. collinum
Iris sulphurea f. violacea
Isatis tintoria subsp. parchalensis
Juncus grubovii
Juncus novikovii
Juncus woroschilovii
Kochia parodii
Koeleria gracilis var. lobata
Lachnoblastis borbonica
Lagochilus hirtus var. dshungaricus
Lamium violaceo-velutinum
Lanthorus spicifer
Laportea crenulata var. luzoniensis
Lappula heteracantha var. submarginata
Lathyrus pseudoaphaca
Lepicephalus syriacus var. turkestanicus
Lepidium coronopifolium f. puberulum
Lepidium coronopifolium var. angustifolium
Lepidium draba var. stenopetalum
Leptorhabdos parviflora var. divaricata
Limonium donetzicum f. albiflorum
Linosyris tatarica var. scabra
Linum heterosepalum subsp. tianschanicum
Linum karataviense
Liparis disticha var. latilabris
Lomatopodium platyphyllum
Lonicera chrysantha var. latifolia
Loranthus confusus
Loranthus loheri
Loranthus mirabilis
Lotus robsonii
lris gmelinii
Luzula changaica
Luzula hybrida
Luzula spicata subsp. mongolica
Lychnis loveae
Maesa indica var. obtusa
Maesa indica var. wightiana
Maoutia platystigma
Melastoma micranthum
Microsorium reticulatum
Mimosa linifolia
Molucella mongholica
Muscari longifolius
Myosotis gunnerii
Myriophyllum isoetophyllum
Nardosmia gmelinii var. albiflora
Nepeta willdenowiana
Noaea tournefortii var. leptoclados
Oberna pubicaulis
Olgaea conglobata
Ononis glandulifera
Ononis intermedia
Onosma ambigens subsp. zurabiana
Onosma latifolia
Onosma rupestre
Onosma tridentinum
Oxytropis arctobia subsp. subarctobia
Oxytropis baschkiriensis
Oxytropis dioritica
Oxytropis floribunda var. brachycarpa
Oxytropis oxyphylla var. arenicola
Oxytropis oxyphylla var. argentatifolia
Oxytropis schmorgunoviae var. tundrarum
Panicum acutiglumum
Panicum glumaepatulum
Papaver ocellatum var. turcomanicum
Papaver zangesurum
Parietaria jaxartica
Pavonia rubiformis
Pedicularis rhinanthoides subsp. angulata
Pedicularis rubens var. alatavica
Pedicularis sudetica var. macrodonta
Peliosanthes separata
Pergularia angustiloba
Petasites deschmanni
Petrosimonia diandra
Pharetranthus ferrugineus
Phlomis thapsoides var. brevisubulata
Pilea crateraforma
Pimpinella oliverioides
Pinus litvinovii
Pinus sylvestris var. humistrato-ramosa
Pinus sylvestris var. melanosperma
Pinus sylvestris var. mongholica
Plantago acutiloba
Plantago kamtschatica
Plantago karataviensis
Poa glauca var. radicans
Poa nemoralis var. glabrescens
Poa nymanni
Poa ruida var. mongholica
Polemonium caucasicum var. album
Polyalthia cumingiana
Polycnemum malacophyllum
Polygonum buxifolium
Polygonum lanigerum var. indicum
Polygonum retinerve
Polygonum roxburghii var. spathulatum
Polylophium petrophilum var. polypterum
Polypodiopsida irriguum
Polypodiopsida macrophyllum
Polypodiopsida microsorum
Populus tremula var. tundricola
Potentilla alpestris var. tridentina
Potentilla amthoris
Potentilla argenteaeformis
Potentilla brandisiana
Potentilla breunia
Potentilla gaudinii var. benacensis
Potentilla gelida var. minor
Potentilla huteri
Potentilla johanniniana var. caespitosa
Potentilla nana var. villosa
Potentilla opaca var. longifolia
Potentilla pavlovii
Potentilla petiolulata var. cebennensis
Potentilla recta subsp. tuberosa
Potentilla rupestris var. subalpina
Potentilla tiroliensis
Potentilla vindobonensis
Primula anisiaca
Primula xanthobasis var. efarinosa
Prunella vulgaris var. nemoralis
Prunella vulgaris var. uliginosa
Psephellus schavscheticus
Pulsatilla grandis var. moravica
Pyrethrum bipinatum subsp. subulosum
Pyrethrum lilae
Pyrethrum praecox
Quercus corcyrensis var. dobrogensis
Quercus corcyrensis var. lupei
Ranunculus elymaticus
Ranunculus ficaria var. gynodioicus
Ranunculus monophyllus subsp. uralensis
Ranunculus nivalis var. gracilis
Ranunculus peloponnessiacus
Rosa albida
Rosa boissieri var. azalea
Rosa boissieri var. narzanica
Rosa campicola
Rosa caryophyllacea var. lonaczewskii
Rosa coriifolia var. virescens
Rosa dolata
Rosa dumetorum var. densistyla
Rosa dumetorum var. subsvanetica
Rosa glauca var. levis
Rosa granensis
Rosa hawrana
Rosa incanescens
Rosa infesta
Rosa jundzillii var. pallonii
Rosa klukii var. orthacantha
Rosa klukii var. subunicolor
Rosa klukii var. trichophylla
Rosa kujmanica
Rosa mygindi
Rosa patens
Rosa rocheliana
Rosa rubiginella
Rosa schemnitzensis
Rosa stohlii
Rosa svanetica var. ismailskiana
Rosa svanetica var. schelkownikowii
Rosa svanetica var. stipularis
Rosa sytnensis
Rosa tomentella var. kodzorica
Rosa tomentosa var. lubnensis
Rosa znaimensis
Rubus decorum
Rubus laxiflorus
Rubus rorulentus
Rubus vidalii
Rudolphia peltata
Saccharum insulare var. amplum
Salicornia arabica var. glauca
Salix ausserdorferi
Salix australior var. apiculata
Salix euryadenia
Salix flabellarinervis
Salix fumosa var. laxiflora
Salix lagopina
Salix livida var. sibirica
Salix magadanensis
Salix psedodepressa
Salix rakosiana
Salix turczaninovii
Salsola androssovii
Salsola junatovii
Salsola kali var. splendens
Salsola kali var. virgata
Salsola minkwitziae
Salsola richteri var. androssovii
Salsola subaphylla var. arenaria
Salvia lozani
Salvia schmalhausenii var. albiflora
Salvia sheilei
Sanicula caspica
Saurauia cumingiana
Saurauia rugosa
Saxifraga juniperina
Saxifraga jurtzevii
Saxifraga redowskii
Saxifraga stelleriana var. pubiflora
Saxifraga tridactylites var. simplex
Scabiosa pulsatelloides
Scirpus avatschensis
Scorzonera kozlowskyi
Scorzonera parviflora var. humillima
Scorzonera sosnovskyi
Scrophularia incisa var. alpina
Scrophularia pinardi
Scutellaria uzunderensis
Sczegleewia luconensis
Selinum tianschanicum var. transitorium
Senecio racemosus var. shelkovnikovii
Senecio salsuginosus
Senecio subdentatus var. fasciculatus
Senecio turczaninovii subsp. czikoicum
Seseli scariosum
Sesleria pavlovii
Sida cumingii
Sida philippinensis
Silene brevicaulis var. latifolia
Silene swertiaefolia var. stenophylla
Silene syreistschikovii
Sinocarum latifoliolobatum
Sisymbrium tilesii
Solidago virgaurea subsp. polari-uralensis
Sonchus cacaliaefolius
Sonerila heterostema
Stellaria fischerana subsp. viridifolia
Stellaria media var. transiens
Stellaria pedunculata
Stroganovia brachyota
Stroganovia cardiophylla
Stroganovia gracilis
Stroganovia intermedia
Stroganovia kazachstanica
Stroganovia paniculata var. ferganica
Stroganovia robusta
Stroganovia saravschanica
Stuartia monadelpha
Suaeda balchaschensis
Suaeda kulundensis
Suaeda lipskyi
Suaeda sibirica
Suaeda tuvinica
Symphytum podkumicum
Symphytum ullepitschii
Tamarix androsowii
Tamarix karelinii var. hirta
Tarachia truncatiloba
Taraxacum ceratolepis
Taverniera persicti
Tetranthera perrottetii var. cumingii
Tetranthera perrottetii var. subcordata
Thalictrum simplex var. puberulum
Thismia mucronata
Thlaspi pumilum var. violaceo-striatum
Thymus flexilis var. jacuticus
Thymus goginae
Thymus jurtzevii
Thymus lenensis
Thymus mongolicus var. borealis·
Thymus purpureo-violaceus
Tilia stohlii
Torilis aglochis
Tragopogon marginatum
Trientalis europaea var. angusta
Trifolium glaucescens
Trifolium hamosum
Trifolium stellatum var. caspica
Tripleurospermum nataliae
Typha ioannis
Typha laxmannii var. getica
Typha laxmannii var. ursachstanica
Ulmus androssowi
Ulmus densa var. bubyriana
Ulmus pumila var. arborea
Ulmus tiliaefolia var. akinfiewii
Urostigma nuda
Valerianella olitoria var. compacta
Verbascum salviaefolium
Veronica chantavica var. hirtella
Veronica karatavica
Veronica spicata var. viscosissima
Veronica subincana
Vicia albescens
Vicia hybrida var. linearifolia
Vicia narbonensis var. ecirrosa
Vicia seriocarpa var. microphylla
Vicia subvillosa var. stenophylla
Viola pseudostagmina
Viola pumila var. orientalis
Viola rupestris var. exbarbata
Zerdana anchonioides var. stenophylla
Ziziphora persica var. intermedia
Zozimia korovinii
